paper_id,raw_conclusion
64441,"We examine available data on the number of individuals infected by the Covid-19 virus, across several different states in India, over the period January 30, 2020 to April 10, 2020. It is found that the growth of the number of infected individuals $N(t)$ can be modeled across different states with a simple linear function $N(t)=\gamma+\alpha t$ beyond the date when reasonable number of individuals were tested (and when a countrywide lockdown was imposed). The slope $\alpha$ is different for different states. Following recent work by Notari (arxiv:2003.12417), we then consider the dependency of the $\alpha$ for different states on the average maximum and minimum temperatures, the average relative humidity and the population density in each state. It turns out that like other countries, the parameter $\alpha$, which determines the rate of rise of the number of infected individuals, seems to have a weak correlation with the average maximum temperature of the state. In contrast, any significant variation of $\alpha$ with humidity or minimum temperature seems absent with almost no meaningful correlation. Expectedly, $\alpha$ increases (slightly) with increase in the population density of the states; however, the degree of correlation here too is negligible. These results seem to barely suggest that a natural cause like a hot summer (larger maximum temperatures) may contribute towards reducing the transmission of the virus, though the role of minimum temperature, humidity and population density remains somewhat obscure from the inferences which may be drawn from presently available data."
64460,"Since COVID-19 vaccine development will take significantly longer period of time before it becomes globally available, it is imperative on all medical sectors in the country to adhere to mitigation measures and intervention policies set by the government. The implementation of school closure, dusk to dawn curfew and partial lockdown are the mitigation effective in curbing the spread of COVID-19 that are effective and lead to the flattening of the curve within the duration of implementation. Relaxation of the mitigation measures on or before September 2020 will likely lead to a resurgence and the country may experience a new wave of infections. Devoid of the aftershocks of these interventions, the country will have no infections as at 31st December 2020. "
64522,"Movement and contact behaviors are key drivers of the spread of pathogens like SARS-CoV-2, yet not all movement and contacts have the same impact on pathogen spread. However, basic compartmental models used to describe SARS-CoV-2 dynamics assume all individuals move and contact each other at random (i.e., populations are well-mixed). Our models show how explicitly accounting for movement, space use in a building, and contact behaviors can provide a more nuanced understanding of relative risk. Our movement model, capturing the predictable movement between home and work/campus environments, shows that reducing the number of people, rate of contact, and amount of time spent on campus are all equivalently effective strategies for slowing pathogen spread. However, if commutes specifically increase transmission risk (i.e., shared transport), reducing the number of people on campus is the most effective strategy to reduce the infection spread rate. We also considered heterogeneity in contact behavior once at the workplace; our network model captures the regular interactions among workers in shared workspaces on campus and shows that restricting building use to lab spaces (rather than lab and office space) may reduce pathogen spread. Our results provide a number of tools to distinguish among different movement and contact patterns at the scale of individuals and workplace communities. A number of future directions could be explored, by changing some of our simplifying assumptions. First, staying within the broad structure of our model, alternative spatiotemporal strategies could be explored including: structured work weeks (e.g., 4 days on-campus and 10 off; Karin et al 2020), or further compartmentalizing time (e.g., sequential work shifts) or space (e.g., different buildings on campus). For instance, if evidence suggests that infection can occur through air circulation within buildings , these models could be altered to account for connections arising from shared ventilation systems. These models also could be modified to account for movement and contact behavior that explicitly depends on infection status (Narayanan et al. in revision) ; e.g., splitting infected individuals into asymptomatic (who still potentially commute to work) and symptomatic individuals (who stay home). Second, one could expand the scale of the model. This could be done foremost by combining the movement model (movement between work, commute, campus) with the network model (movement while on campus). Further expansions could consider both larger scales (linking in regional patterns) as well as smaller ones (allowing contacts within buildings to vary over time). For instance, structuring interaction networks with respect to age can greatly reduce deaths (Acemoglu et al 2020) and integrating local models such as this with regional variation in disease (Dong et al 2020) could inform recommendations as rates of active infection and immunity shift. Third, as contact-tracing data accumulate that implicate the most common routes of transmission, we can alter specific players or 11 . CC-BY-NC-ND 4.0    Human movement and contact behaviors are critical for the spread of pathogens like SARS-CoV-2, yet are rarely addressed explicitly in the current conversations about decision-making in the face of relaxing Stay at Home orders. Here we have drawn on movement and network models to demonstrate the effect of these behaviors. First, we have shown that regular movement between two 'environments' (i.e., work and home) does not inherently increase infection spread the way random dispersive movements might. Rather the outcome depends on the relative degree of transmission (e.g., degree of physical distancing) in each environment. Second, we have shown that different contact patterns (e.g., space usage) within the work environment could lead to different outcomes in terms of SARS-CoV-2 spread. In sum, we advocate for using an understanding of movement and contact patterns as an adjunctive approach (alongside widespread testing, contact tracing, vaccine development and other tools) to mitigate the effects of SARS-CoV-2 and COVID-19, particularly when considering return to work environments. "
64524,"Although our analyses estimate the expected burden of COVID-19 in a middle-income country with and without non-pharmacological social interventions, COVID-19 is still an evolving situation worldwide, and many uncertainties remain for this disease. Our analyses take the experience of China, Italy, and the United States, and attempt to provide a rough guide of interventions to prevent these adverse outcomes in an upper-middle income country like Colombia. The governments worldwide should consider economic and other societal externalities resulting from the implementation of these trigger thresholds and series of interventions. Our analyses provide decision-makers from middle-income, and potentially in poor economies, with evidence and data to base their decisions. While the trigger of 50 critical care admissions was effective in Colombia to prevent deaths, the trigger value would depend on the available critical care units of each country. . CC-BY-ND 4.0    "
64525,"Background: In Korea, a total of 8,799 confirmed cases of COVID-19 including 102 deaths have been recorded as of Mar 21, 2020. The time-delay adjusted case fatality risk of COVID-19 in Korea is yet to be estimated. Methods: We obtained the daily series of confirmed cases and deaths in Korea reported prior to March 21,2020. Using statistical methods, we estimated the time-delay adjusted risk for death from COVID-19 in the city of Daegu, Gyeongsangbuk-do, other regions in Korea, as well as for the entire country. Results: Our model-based crude CFR fitted the observed data well throughout the course of the epidemic except for the very early stage in Gyeongsangbuk-do, partially due to the reporting delay. Our estimates of the risk for death in Gyeongsangbuk-do reached 2.4% (95% CrI: 1.6-3.4%), 1.3% (95% CrI: 1.0-1.6%) in Daegu and 0.7% (95% CrI: 0.3-1.4%) in other regions, whereas the national estimate of the risk for death was estimated at 1.4% (95% CrI: 1.2-1.7%) in Korea. Conclusions: The relatively low CFRs are associated with the early implementation of public health interventions including widespread testing, social distancing, and delayed school openings in Korea. Geographic differences in CFR are likely influenced by clusters of nosocomial transmission."
64572,"The spread of the novel coronavirus is characterized by two phases: (I) a natural exponential growth phase that occurs in the absence of intervention and (II) a regulated growth phase that is affected by enforcing social distancing and isolation. We have developed a fundamental spreading model for the COVID-19 epidemic that has two parameters: the community transmission rate and a metric describing the degree of isolation and social distancing in a given community or region (country, state, county, or city). These two parameters are calibrated to data from the community, so the model uncertainty depends on the quality of the data and ability to test for COVID-19. The model shows that social distancing significantly reduces the epidemic spread and flattens the curve. The model predicts well the spreading trajectory and peak time of new infections for a community of any size and provides an upper estimate for the total number of infections and daily new infection rate for weeks into the future, providing the vital information and lead time needed to prepare for and mitigate the epidemic. The theory has immediate and far-reaching applications for ongoing outbreaks or similar future outbreaks of other emergent infectious diseases."
64623,"Finally, we consider a distributed lag model specification to empirically test whether changes in mobility weeks prior have an effect on current health outcomes from COVID-19. Across models we control for day-to-day changes common to all states and statespecific factors affecting health outcomes, state-specific trends affecting health outcomes, and distinguish between mandate and non-mandate states. We model daily new COVID 19 deaths and hospitalizations per 100 million residents by state as Where H sd is the daily health outcome reported for state s on date d, andṀ OB s,−k is the lagged change in the chosen mobility measure (one of average distance traveled, ADT , non-essential visitsṄ EV , or human encountersĖN C). k ∈ {1, 2, 3} so that 26 . CC-BY-NC-ND 4.0    Our estimates are an average of the effects of behavioral changes that occurred early in the COVID-19 pandemic as well as after states began implementing health policies. We estimate significant cumulative long-term effects of lagged mobility on current deaths, which provides preliminary evidence that the behavioral changes of reductions in mobility do contribute to flattening the health outcome curves weeks later. Specifically, we estimate that a one percent reduction in non-essential travel three weeks earlier has a significant long-term correlation of reducing deaths by 9.2 per 100 million each day. Given that residents across the U.S. averaged a decline of 40 percentage points in non-essential visits relative to baseline levels in the months of March and April, this would correspond to an estimated 360 (40 × 9) fewer daily deaths per 100 million residents. Using the estimated mandate-induced changes in non-essential visits of -4 percentage points from the weighted event study analyses, this is 10% of the overall reductions during this period and corresponds to a decline of 36 deaths per day due to mandate-induced behavior changes. We estimate a differential impact in mandate states which provides preliminary evidence that mandate policies convey long-term health impacts. Further, we estimate a differential impact in mandate states, providing preliminary evidence that stay-at-home mandates may convey positive cumulative long-term health impacts. Specifically, we estimate that a one percent reduction in average distance traveled three weeks earlier is significantly associated with 70 fewer deaths per 100 million per day. Given that on average residents across the U.S. CC-BY-NC-ND 4.0    Temporarily closing non-essential businesses and mandating residents stay at home except for essential activity is the prime policy instrument currently employed by states to promote social distancing and slow the transmission of COVID-19. If effective, these policies will have reduced strain on the medical system and provided much-needed time for the development of pharmaceutical treatments that can reduce transmission rates and end the pandemic. If unsuccessful, states will have incurred large economic costs with few lives saved. Whether these mandates cause people to stay at home and engage in social distancing is a key requirement of a successful policy. Knowing whether such policies will have their intended effect is of increasing policy relevance as all but eight states eventually adopted such policies. Understanding if and how individuals reduce travel activity in response to stay-at-home mandates and maintain social distance is the primary empirical question we tackle in this paper. First, we find that by the time the average adopter has implemented its statewide mandate, residents had already reduced travel by considerable amounts relative to pre-COVID-19 levels. Average travel distances had already fallen by 38 percentage points, human encounter rates by 76 percentage points, and non-essential visits by 52 percentage points before the first statewide mandate came into effect, providing evidence of extensive social distancing occurring even before they were required by statewide orders. Second, we find evidence that adoption of state-level stay-at-home mandates induced further reductions in all three travel activity measures. The mandate effect persists not just for the early adoption states (where residents' travel activity had not yet stabilized at new, lower norms) but also for mandates adopted weeks later. For the 63 . CC-BY-NC-ND 4.0    ()  .   early mandate states of California, Illinois, New Jersey, and New York, our staggered difference-in-differences models estimate a reduction in average distance traveled of 4.1 percentage points, a decline in visits to non-essential businesses of 5.2 percentage points, and a decrease in the rate of unique human encounters of 4.7 percentage points relative to pre-COVID-19 baselines. These effects remain present when considering all mandates implemented, albeit to a slightly smaller degree, with mandate ATT estimates of a −2.8 change in distance traveled, −4.5 change in non-essential visits, and a −3.6 change in unique human encounters. Estimated magnitudes remain highly comparable when directly accounting in differences in pre-mandate behavior for treatment and control states. Through the weighted event studies that construct control units to balance pre-treatment travel behavior net of state fixed effects, we find large, statistically significant drops immediately following mandate implementation that persist for the duration of the sample period. Resulting estimates of the overall mandate effects range between -7.29 and -6.47 for changes in average distance traveled, between -4.38 and -4.14 for non-essential visits, and between -5.87 and -4.98 for any mix of pooled and separate synthetic control weights. Our estimates suggest that, importantly, residents subject to stay-at-home mandates are on average responding as desired to curb the spread of COVID-19. Our empirical approaches isolate the mandate effect from other drivers of daily changes in travel activity levels, state-specific trends, and controls for a host of potential confounding factors that differ between states that adopted early policies relative to other states. In spite of these rigorous control approaches, we find persistent evidence of state mandates inducing further reductions in travel activity even after considerable earlier declines around the country. Further, our estimates are average treatment ef-64 . CC-BY-NC-ND 4.0    ()  .   fects in response to statewide mandates only; given the extents of prior school closures, new work from home abilities, and county-level stay-at-home policies, our findings represent only a portion of the way individuals responded to COVID-19 policies and are a considerable lower bound on how individuals responded to all COVID-19 policies. Linking changes in travel activity and social distancing to health outcomes, we find evidence that these reductions help ""flatten the curve"" and reduce health consequences. We find that, on average, a one percentage point decrease in non-essential visits per day three weeks prior has a long-term average effect of reducing nationwide death rates by 0.92 fewer deaths per million per day. Converting these reductions in deaths to economic benefits, we find that the observed reduced travel activity nationwide during the months of March and April translate into savings of $249-$755 billion due to associated reductions in deaths. Further, we find evidence of differential declines in deaths from shorter distances traveled in the first four states to adopt statewide mandates. Residents of these state were subject to modified business policies and face covering requirements for greater periods of time; our findings provide preliminary evidence that the non-pharmaceutical interventions employed by statewide mandates helped further flatten these states' epidemic curves. The reductions in deaths from a month-long mandate in these states are associated with total savings between $23.1 and $99.1 billion. Our findings have important policy implications for the fight against COVID-19. First, individuals on average responded as intended to statewide mandates. Despite considerable prior reductions, residents heeded their states' requests and stayed at home. Second, the declines in economic activity directly attributable to statewide 65 . CC-BY-NC-ND 4.0    ()  .   mandates may be much smaller than previously thought. As individuals around the country had already more than halved the quantity of trips taken to non-essential retail and service businesses, much of the lost business and resulting unemployment would have likely still occurred even if states had not adopted their stay-at-home policies. Further, as the mandate-induced reductions in visits to non-essential businesses amount to only one-tenth of the overall reductions since COVID-19, it is likely that loosening or removing statewide policies on their own will not be sufficient to induce mobility patterns to quickly return to pre-COVID-19 levels. Further policies will be needed to ensure that individuals can resume activity and return to local businesses in a manner that is safe. Our estimates do not take into account the benefits from avoided hospitalizations and other indirect health benefits from reduced travel activity and social distancing. As reductions in travel distance and increased social distance likely decrease exposure to other potentially deadly illnesses, this is likely an underestimation of the overall health benefit of these policies. Further, the patterns in under-reporting and undercounting of COVID-19 deaths provide further evidence that we likely underestimate the direct benefits of these policies. Future identification of additional COVID-19 deaths may prove difficult, as many death certificates list only the immediate cause of death and fail to report underlying diseases -likely understating the presence of COVID-19 [40] . Further, procedures for counting COVID-19 deaths may be correlated with adoption of stay-at-home mandates. If adoption of a state-level ordinance indicates additional preparedness on the part of the adopting state, then states that were slower to (or had yet to) pass stay-at-home mandates may also have been slower to properly attribute deaths to COVID-19, resulting in our estimated effects being under-66 . CC-BY-NC-ND 4.0    ()  .   statements of the true effect. Given the challenges to proper identification of COVID-19 deaths we may not know the true death count for years, or ever. As a result it may not ever be possible to determine the exact loss of life due to COVID-19, and accordingly we heed caution in interpreting our result as capturing a de-facto relationship. We support continued efforts to obtain accurate counts of the mortality and morbidity consequences from COVID-19 to help ensure future research can provide sufficient policy guidance in the case of future pandemics. While this paper sets out to understand an important and timely question and provides benefit estimates to help policymakers evaluate tradeoffs and weigh the costs and benefits of extending and relaxing such policies, there are avenues for future research that could be explored. First, whether these policies result in a true flattening of the epidemic curve or merely postpone illness is an avenue that deserves additional attention. Particularly as states weigh the difficult decisions of reopening business as usual, it is necessary to understand how caseloads and health consequences may rebound. Second, future work should also consider within-state policy variation and the relationship between local and national policies. Knowing whether county-level mandates that preceded statewide policies conveyed additional benefits will help improve our understanding of the full set of policy tools available to combat future pandemics. Further, the economic forces and psychological incentives behind compliance with stay-at-home mandates are complex, and additional work is needed that can characterize the mechanisms behind the policy effects we observe. "
64632,"Taken together, we demonstrate that the rate of spread of COVID-19 in the United States is concave in the number of contagious individuals. This explains why the growth rate of COVID-19 cases has been slower than expected given the initial exponential growth, above and beyond the effect from social distancing. We empirically identify the substantial impact of social-distancing on combating the pandemic. We also forecast how COVID-19 will evolve in the future, and the timing over which different parts of the country will reach their peaks and how the patterns may affect our reopening strategies. 16may2020 01jun2020 01jul2020 01aug2020 01sep2020 30sep2020 Date 16may2020 01jun2020 01jul2020 01aug2020 01sep2020 30sep2020  "
64656,We investigate the effects of social distancing in controlling the impact of the COVID-19 epidemic using a simple susceptible-infected-removed epidemic model. We show that an alternative or complementary approach based on targeted isolation of the vulnerable sub-population may provide a more efficient and robust strategy at a lower economic and social cost within a shorter timeframe resulting in a collectively immune population.
64668,"After weeks under lockdown, metropolitan areas fighting the spread of COVID-19 aim to balance public health goals with social and economic standards for well-being. Mathematical models of disease transmission seeking to evaluate mitigation strategies must assess the possible impacts of social distancing, economic lockdowns and other measures. However, obscure relations between model parameters and real-world phenomena complicate such analyses. Here, we use a high-resolution metapopulation model of Guadalajara (GDL, Western Mexico) to represent daily mobility patterns driven by economic activities and their relation to epidemic growth. Given the prominence of essential activities in the city's economy, we find that strategies aiming to mitigate the risk of out-of-home interactions are insufficient to stop the catastrophic spread of COVID-19. Using baseline reproduction numbers R0 = [2.5, 3.0] in the absence of interventions, our simulations suggest that household transmission alone can make Rt ~ 1, and is estimated to drive 70 {+/-} 15% of current epidemic growth. This sets an upper bound for the impact of mobility-based interventions, which are unlikely to lower Rt below 1.3 and must be complemented with aggressive campaigns for early case detection and isolation. As laboratory testing and health services become insufficient to meet demand in GDL and most other cities, we propose that cities facilitate guidelines and equipment to help people curb spreading within their own homes. Postponing these actions will increase their economic cost and decrease their potential returns."
64716,"The control, containment, mitigation and final resolution of the coronavirus epidemic requires careful consideration of alternative scenarios as pointed out very clearly in [19] . Models like the ones presented here can help decision-makers to have amore comprehensive understanding of the epidemic and thus a better set of criteria on which to base decisions. "
64721,"In this work, the dynamics of COVID-19 spread in India from the beginning until June 8, 2020 are analyzed. Different mathematical models are used to describe the initial rapid growth (phase-1), slow growth immediately after lockdown (phase-2), and later and more recent fast growth (phase-3). It is shown that exponential, linear and quadratic curves define these phases with high statistical significance. The switch from linear to quadratic growth after lockdown is suspected to be related to the order-of-magnitude increase in the diagnostic testing capacity. However, an increase in the positivity rate nearly 1.5 months after the lockdown, inconsistent with what is observed for other countries, indicates that the testing capacity may still not be adequate. Future projections based on available data are made using both phenomenological and mechanistic models. These models have high variability in the prediction of the peak, and even the most optimistic case projects the flattening of the curve in September. The accuracies of these predictions are also limited in the absence of an accurate estimate of the true number of cases due to insufficient testing capacity. Therefore, these models should be regularly revisited, as more and more reliable estimates of the infections become available with 6 . CC-BY-ND 4.0    increasing testing capacity. The variability in estimates from different models will also decrease once India enters the decline phase. . CC-BY-ND 4.0    "
64737,"Background The government of India implemented social distancing interventions to contain the COVID-19 epidemic. However, effects on epidemic dynamics are yet to be understood. Methods Rates of laboratory-confirmed COVID-19 infections per day and effective reproduction number (Rt) were estimated for 4 periods (Pre-lockdown and Lockdown Phases 1 to 3) according to nationally implemented phased interventions. Adoption of these interventions was estimated using Google mobility data. Estimates at the national level and for 12 Indian states most affected by COVID-19 are presented. Findings Daily case rates ranged from 0.03 to 30.05/10 million people across 4 discrete periods in India. From May 4-17, 2020, the National Capital Territory (NCT) of Delhi had the highest case rate (222/10 million people/day), whereas Kerala had the lowest (2.18/10 million/day). Average Rt was 1.99 (95% CI 1.93-2.06) for India; it ranged from 1.38 to 2.78, decreasing over time. Median mobility in India decreased in all contact domains, with the lowest being 21% in retail/recreation (95% CI 13-46%), except home which increased to 129% (95% CI 117-132%) compared to the 100% baseline value. Interpretation The Indian government imposed strict contact mitigation, followed by a phased relaxation, which slowed the spread of COVID-19 epidemic progression in India. The identified daily COVID-19 case rates and Rt will aid national and state governments in formulating ongoing COVID-19 containment plans. Furthermore, these findings may inform COVID-19 public health policy in developing countries with similar settings to India. Funding Non-funded."
64743,"In this study we have extended the SEIR model to allow for general transition-time distributions and developed an estimation strategy in which we first retrieved the latent number of infectious and susceptible individuals per day, and subsequently estimated the ECR per day. This way, we did not make a priori assumptions on consistency across countries and delays in the effect of governmental interventions. Our findings show that change points in the daily ECRs overlap with moments of governmental interventions. Overall, the first set of measures taken by the governments seems to have an immediate (although heterogeneous) effect. This first set of measures typically included the closure of schools and daycares, as well as banning events. Implementing a full lockdown after the first set of measures, either locally or nationally, seemed to coincide with changes in the ECR, but in several countries only when this was enforced with increased police surveillance. Although the effect of closing schools and banning events has been demonstrated in previous studies 1,4 , our findings suggested a stronger (combined) effect of the first set of measures than found before. On the contrary, these studies observed more serious effects of a gathering bans, lockdowns, and closure of bars and restaurants 1,4 . These differences may be explained by the additional model restrictions (constant contact rates, country homogeneous effect sizes, and fixed delay in the effects) that these studies implemented. Therefore, they could not determine whether the effect of the full lockdown did change over time as we observed. Our observation is in line with the Google mobility data (Appendix E) that suggests that mobility did further reduce in the days after the ordering of the lockdown in Italy, Spain and . CC-BY-NC-ND 4.0    "
64756,"To our knowledge, this study will be the first systematic review to examine the effects of SDMs (e.g. isolation, quarantine) for reducing the transmission of COVID-19. enablers and barriers impacting SDMs to reduce transmission of COVID-19. Social distancing becomes a highly charged topic creating a lieu of debate among the politicians, . CC-BY-NC-ND 4.0    "
