paper_id,raw_conclusion,summary
64390,"The Italian population is receiving public health messaging, understands it, and most -save for small numbers of young people and skeptics -claim to be following it closely. Those who take it seriously defect for mostly universally recognized acceptable reasons (e.g., groceries, medicine). New messaging campaigns designed to accomplish the same purpose should not be the focus at this point. However, the negative psychological effects of the quarantine -most commonly boredom, perceived immobility, and anxiety -are beginning to wear on people and seem likely to become more serious over 13 . CC-BY-ND 4.0   author/funder, who has granted medRxiv a license to display the preprint in perpetuity. is the (which was not peer-reviewed)  time. If we expect the Italian people to remain inside and keep following the recommendations of public health officials for the next few weeks or even months (as may be necessary to curb the spread of COVID-19) it would be helpful to find ways of reducing these negative effects of the quarantine. A messaging campaign that suggests how to make the quarantine easier and more frictionless, rather than repeating the now well-known dire reasons to stay indoors, should begin. Possibilities include messaging about online collective exercises, social reading activities (e.g., Perusall.com for schools and universities), safe ways for people to get fresh air outside, classes (e.g., edx.org for online classes), or novel ways of bridging social capital between young and old, or even distribution of inexpensive tablets or laptops to ensure the whole population has video conferencing abilities. If we look for activities and interventions that make the quarantine easier for those affected by it, the population may be able to better tolerate the treatment for as long as it takes to overcome this public health crisis. respondent of an intensely personal impact of non-compliance with the quarantine. The message was as follows: ""If you are infected with COVID-19, you are likely to infect your parents, your friends' parents, and/or one any one of your close ones. If they are older than 50, they may die. In the text field below, please name a loved one (example: my father, my grandmother) that you're most worried about contracting COVID-19."" The third group received no message, as a control condition for comparison. In a pre-test, the social externalities messaging outperformed most other messages framing the risks of noncompliance with safety measures -including messages framed around pro-sociality, expert or celebrity advice, and healthcare sector externalities (i.e. ""flatten the curve""). The survey proceeded by then asking respondents for their beliefs, social perceptions, and perceived efficacy about government and/or public safety measures. Respondents were also asked about their trust in government and the degree to which the government was providing factual information about the crisis. We asked respondents a series of questions about anxiety, stress, and worry around the current circumstances. Next, respondents were asked about their future behaviors -namely whether they planned to leave the house in the next 5 days, and their top reasons for leaving, as well as negative aspects of complying with staying at home. Finally, respondents took a brief personality battery, provided personal demographic information, and were asked whether they would share either the social externalities message or some other message of their choosing with upto 5 of their friends or loved ones via text or email. ","The Italian population is receiving public health messaging, understands it, and most -save for small numbers of young people and skeptics -claim to be following it closely.<q>Those who take it seriously defect for mostly universally recognized acceptable reasons (e.<q>However, the negative psychological effects of the quarantine -most commonly boredom, perceived immobility, and anxiety -are beginning to wear on people and seem likely to become more serious over 13 .
"
64433,"Our work may help the authorities to quantify the lessons learned during the COVID-19 pandemic and utilize them during future epidemics (more generally, our methods may be applied to any kind of mass delivery and collection: e.g., the drones may distribute immunity tests to release people from quarantine). Indeed, one stumbling block to drones ubiquity is the generally absent regulation (in particular, in regions with less strict or absent (anti-)drone laws, UAVs are already widely used for medical applications including infectious disease surveillance and epidemiology [BMAN+14, CMRS+19, HMCMM17, GPHS+18]). With a proactive thinking, the authorities could design sets of regulations with different levels of strictness: in situations like epidemics, more lenient regulations could take force and let the drone operations rise to higher levels than during nominal course of events --the switch may be justified not only by the extreme social value of the drones use (as shown here), but also by the fact that during the (even partial) quarantine there are fewer people on the streets, which lowers the ground risk of drone operations (one of the concerns for the regulators [AHH19, BNEK+17, BNAB+17, DPJ18, PRC20, WCS17]). We emphasize that our model of mass-testing can be applied at any geographic scale. In particular, while the epidemic is confined to a limited area, it may be reasonable to concentrate on mass-testing only the potentially affected region. As far as our theoretical results (SIQR) are concerned, incorporating people on quarantine into epidemic spread modeling may not only provide more accurate prediction of the disease spread, but also help understand the economic consequences of the quarantine (see [T20] for discussion of COVID-19 economic impact). ","Our work may help the authorities to quantify the lessons learned during the COVID-19 pandemic and utilize them during future epidemics (more generally, our methods may be applied to any kind of mass delivery and collection: e.<q>g., the drones may distribute immunity tests to release people from quarantine). Indeed, one stumbling block to drones ubiquity is the generally absent regulation (in particular, in regions with less strict or absent (anti-)drone laws, UAVs are already widely used for medical applications including infectious disease surveillance and epidemiology [BMAN+14, CMRS+19, HMCMM17, GPHS+18]).<q>In particular, while the epidemic is confined to a limited area, it may be reasonable to concentrate on mass-testing only the potentially affected region.
"
64453,"This communication describes a recursive mathematical model of the spreading COVID-19 infection, which allows estimating the effectiveness of quarantine measures. The model was used to analyze the situation in eight countries and to find the viral transmissibility, which made it possible to give a brief prediction of the COVID-19 spreading.","This communication describes a recursive mathematical model of the spreading COVID-19 infection, which allows estimating the effectiveness of quarantine measures.<q>The model was used to analyze the situation in eight countries and to find the viral transmissibility, which made it possible to give a brief prediction of the COVID-19 spreading.
"
64468,"Our estimates of SAR, SI, and asymptomatic infection demonstrate the challenges in controlling SARS-CoV-2 transmission. Based on our pooled estimates of these three parameters, 10 infected symptomatic persons living with 100 contacts would result in 15 additional symptomatic infected persons in <5 days and 39 in <15 days. If the testing and tracing strategy is based on symptoms, we would further miss 25% of infected individuals, who are asymptomatic and could potentially be transmitting. Overall, these findings suggest that aggressive contact-tracing strategies based on suspect cases may be appropriate early in an outbreak but as it progresses, control measures should transition to a combination of approaches that account for setting-specific transmission risk. Quarantine may need to cover entire communities such as dormitories, workplaces, or other institutional and residential settings, while contact tracing should shift to identifying hotspots of transmission and vulnerable populations. The variability in SAR across settings suggests targeted strategies may allow for reducing infections while not overly restricting social movement. . CC-BY-NC-ND 4.0    . CC-BY-NC-ND 4.0    ","Our estimates of SAR, SI, and asymptomatic infection demonstrate the challenges in controlling SARS-CoV-2 transmission.<q>Based on our pooled estimates of these three parameters, 10 infected symptomatic persons living with 100 contacts would result in 15 additional symptomatic infected persons in <5 days and 39 in <15 days.<q>If the testing and tracing strategy is based on symptoms, we would further miss 25% of infected individuals, who are asymptomatic and could potentially be transmitting.
"
64475,"We here present the performance characteristics of a novel ELISA and nine LFIA devices for detecting SARS-COV-2 IgM and IgG using a panel of reference plasma. After setting thresholds for detection using 50 negative (pre-pandemic) controls, 85% of 40 RT-PCR-confirmed positive patients had IgG detected by ELISA, including 100% patients tested ≥10 days after symptom onset. A panel of LFIA devices had sensitivity between 55 and 70% against the referencestandard RT-PCRs, or 65-85% against ELISA, with specificity of 95-100% and 93-100% respectively. These estimates come with relatively wide confidence intervals due to constraints on the number of devices made available for testing. Nevertheless, this study provides a benchmark against which to further assess the performance of platforms to detect anti-SARS-CoV-2 IgM/IgG, with the aim of guiding decisions about deploying antibody testing and informing the design and assessment of second-generation assays. LFIA devices are cheap to manufacture, store and distribute, and could be used as a point-ofcare test by healthcare practitioners or individuals at home, offering an appealing approach to diagnostics and evaluating individual and population-level exposure. A positive antibody . CC-BY 4.0    ","We here present the performance characteristics of a novel ELISA and nine LFIA devices for detecting SARS-COV-2 IgM and IgG using a panel of reference plasma.<q>After setting thresholds for detection using 50 negative (pre-pandemic) controls, 85% of 40 RT-PCR-confirmed positive patients had IgG detected by ELISA, including 100% patients tested ≥10 days after symptom onset. A panel of LFIA devices had sensitivity between 55 and 70% against the referencestandard RT-PCRs, or 65-85% against ELISA, with specificity of 95-100% and 93-100% respectively.<q>LFIA devices are cheap to manufacture, store and distribute, and could be used as a point-ofcare test by healthcare practitioners or individuals at home, offering an appealing approach to diagnostics and evaluating individual and population-level exposure.
"
64507,"We present an epidemic model capable of describing key features of the present Covid-19 pandemic. While capturing several qualitative properties of the virus spreading, it allows to compute the basic reproduction number, the number of deaths due to the virus and various other statistics. Numerical integrations are used to illustrate the relevance of quarantine and the role of care houses.","We present an epidemic model capable of describing key features of the present Covid-19 pandemic.<q>While capturing several qualitative properties of the virus spreading, it allows to compute the basic reproduction number, the number of deaths due to the virus and various other statistics.<q>Numerical integrations are used to illustrate the relevance of quarantine and the role of care houses.
"
64570,"The outbreak of COVID-19 since Dec. 2019 has caused severe life and economic damage worldwide, many countries are trapped by medical resource constraints or absence of targeted therapeutics, and therefore the implement of systemic policies to block this pandemic should be prioritized. Based on the transmission mechanisms and physicochemical properties of betacoronaviruses, we construct a fine-grained transmission dynamics model (ICRD) to forecast the crucial information of public concern, therein using dynamical coefficients to quantify the impact of the implement time and intensity of containment policies on the spread of epidemic. We find that the comprehensive investigation policy for susceptible population and the quarantine for suspected cases eminently contribute to reduce casualties during the phase of the dramatic increase of diagnosed cases. Statistic evidences strongly suggest that society should take such forceful public health interventions to cut the infection channels in the initial stage until the pandemic is interrupted.","The outbreak of COVID-19 since Dec.<q>We find that the comprehensive investigation policy for susceptible population and the quarantine for suspected cases eminently contribute to reduce casualties during the phase of the dramatic increase of diagnosed cases.<q>Statistic evidences strongly suggest that society should take such forceful public health interventions to cut the infection channels in the initial stage until the pandemic is interrupted.
"
64616,"The outbreak of the novel Coronavirus (COVID-19) has lead countries worldwide to administer quarantine policies. However, each country or state decides independently what mobility restrictions to administer within its borders, while aiming to maximize its own citizens' welfare. In turn, since individuals travel between countries and states, at least during periods when quarantines are less restrictive, the policy in one country may ultimately affect the infection level in other countries. Therefore, major questions are whether the policy dictated by a decentralized government is efficient, and if not, how the governments can coordinate a better policy. Here, we focus on the decision regarding the timing of releasing the quarantines. We consider a game theory model in which each of two governments decides when to switch from a restrictive to a non-restrictive quarantine and vice versa. We used parameter values driven by the literature and publically available data. We show that, if travel is sufficiently frequent during the non-restrictive quarantine periods, then the strategies are sub-optimal: Each governor tends to release the quarantine sooner, which ultimately leads to longer periods of restrictive quarantines and a higher prevalence of the disease. In turn, if the governments restrict international and interstate travel to a low level even when the quarantines are non-restrictive, the policy dictated by the decentralized governance may become optimal.","The outbreak of the novel Coronavirus (COVID-19) has lead countries worldwide to administer quarantine policies.<q>However, each country or state decides independently what mobility restrictions to administer within its borders, while aiming to maximize its own citizens' welfare.<q>Here, we focus on the decision regarding the timing of releasing the quarantines.
"
64665,"Due to the closed environment and close contact among people on board, cruise ships can be vulnerable to outbreak of infectious diseases [14] . Our estimates of R0 for the initial period (Table 1 ) are all greater than 3, consistent with most estimates of R0 reported earlier [22, 23] , showing that the COVID-19 virus is highly transmissible. Our results show that with a serial interval of 6 days, R0 is similar for t = 1-3, yet R0 for some passengers is slightly higher for t = 4, while R0 finally decreases for t = 5. This demonstrates the possibility that as long as asymptomatic positive cases were not removed, R0 remains high under quarantine conditions. We find evidence to support a CDC report that ""a high proportion of asymptomatic infections could partially explain the high attack rate among cruise ship passengers and crew."" The effects of pre/asymptomatic population on the spread of COVID-19 during quarantine has not yet been studied extensively. Clinical observations and lab tests have confirmed the existence of a pre/asymptomatic population infecting others [6, 7, 8] . It is not easy to give precise estimates of the size of this population, yet the DP outbreak provides very useful real world data for this. 46.5% of passengers and crew members on the DP were asymptomatic at the time of testing [14] , and about 17.9% of the infected individuals never demonstrated any symptoms [13] . Some research has suggested that the pre/asymptomatic population, ""silent carriers,"" are the main driving force behind this pandemic. A group has estimated that the proportion of undocumented infections in China -including those who experience mild, limited or no symptoms and go undiagnosed-could be as high as 86% prior to January 23, 2020. They estimated the transmission rate of undocumented infections as 55% of the rate for documented infections, and yet that undocumented infections contributed to 79% of documented cases [23] . . CC-BY-NC-ND 4.0    ","We find evidence to support a CDC report that ""a high proportion of asymptomatic infections could partially explain the high attack rate among cruise ship passengers and crew.<q>Due to the closed environment and close contact among people on board, cruise ships can be vulnerable to outbreak of infectious diseases [14] .<q>"" The effects of pre/asymptomatic population on the spread of COVID-19 during quarantine has not yet been studied extensively.
"
64683,"MIMANSA is a unique model that makes effective use of the systems approach to simulate the SARS-CoV-2 spread. While building the model, every step was based on observations. These observations represent the true picture of how the virus spread takes place. To represent reality, we started with only one silent carrier, P, who interacts with others. We grouped these interactions into family, workplace, and public places. There is no inter-. CC-BY-NC-ND 4.0    In this paper, we have given a detailed description of how a multilevel integrated model for the spread of COVID-19 is built using a systems approach. We designed the system by keeping the real world view in perspective at all times. Daily in-person interactions were split into three layers, namely family, workplace, and public places. These interactions form the basis of person-to-person virus transmission. Every day was built as a computational block connected to other layers through the silent carriers coming out of the block. Each day comprises of many layers of computation blocks. A complex network of the virus spread was built block-by-block and layer-by-layer. The multiple layers were integrated to give a complete system view. All parameters have physical significance in the real world. . CC-BY-NC-ND 4.0    ()  . . 12.20099291  The MIMANSA simulator has four controls. They are the virus exposure control, the infection rate control, the lockdown control, and the quarantine control. Besides these, there is complete flexibility in changing other parameters, if there is empirical evidence. In this paper, we have shown the models' effectiveness in simulating COVID-19. However, MIMANSA is an inherently generic model to simulate the virus spread. It is flexible and can be easily adapted to other spread of viruses. MIMANSA was trained using COIVD-19 case data from India. Once trained, it has been able to track the number of patient cases within 5% error margin. However, the objective of MIMNASA is not only predicting the cases but to help make complex decisions with ease. MIMANSA allows one to simulate various percentages of lockdown, assess the effectiveness of masks usage, contact tracing, and quarantine. One can run multiple scenarios with varying levels of each of the parameters to find out a trade-off between a high number of patients with a minimal impact on the economy vs. a low number of cases with a high impact on the economy. With the help of MIMANSA, our current research aims at finding the balance between the effect of strict lockdown on the economy vs. the marginally high number of COVID-19 patients with a bit relaxed lockdown. ","MIMANSA is a unique model that makes effective use of the systems approach to simulate the SARS-CoV-2 spread.<q>While building the model, every step was based on observations.<q>CC-BY-NC-ND 4.
"
64756,"To our knowledge, this study will be the first systematic review to examine the effects of SDMs (e.g. isolation, quarantine) for reducing the transmission of COVID-19. enablers and barriers impacting SDMs to reduce transmission of COVID-19. Social distancing becomes a highly charged topic creating a lieu of debate among the politicians, . CC-BY-NC-ND 4.0    ","To our knowledge, this study will be the first systematic review to examine the effects of SDMs (e.<q>g. isolation, quarantine) for reducing the transmission of COVID-19.<q>CC-BY-NC-ND 4.
"
64805,"A calculation model for predicting the spread of the COVID-19 epidemic under quarantine conditions is proposed. The obtained simple analytical ratios allow estimating the factors determining the intensity of the infection spread, including changing requirements for quarantine severity. The presented method of forecasting allows to calculate both the total number of infected persons and the number of active infections. Comparison of the results of calculations according to the proposed model with the statistics for a number of cities shows their satisfactory qualitative and quantitative compliance. The proposed simple model can be useful in preliminary assessment of possible consequences of changing quarantine conditions.","A calculation model for predicting the spread of the COVID-19 epidemic under quarantine conditions is proposed.<q>The obtained simple analytical ratios allow estimating the factors determining the intensity of the infection spread, including changing requirements for quarantine severity.<q>The presented method of forecasting allows to calculate both the total number of infected persons and the number of active infections.
"
